ts_down,ts_up,dwell_ms,flight_ms,code,prev_code,key
1759074605968.412,1759074606064.455,96.195,,Key.enter,,
1759074606928.172,1759074607040.878,113.214,863.79,Char.d,Key.enter,d
1759074607030.868,1759074607130.885,100.401,-10.184,Char.k,Char.d,k
1759074607142.142,1759074607202.582,60.959,10.711,Char.s,Char.k,s
1759074607782.309,1759074607897.219,114.024,579.832,Char.s,Char.s,s
1759074607887.104,1759074607978.347,91.517,-9.874,Char.u,Char.s,u
1759074608033.661,1759074608118.342,84.699,55.127,Char.d,Char.u,d
1759074608264.249,1759074608351.126,86.506,146.25,Char.g,Char.d,g
1759074608400.207,1759074608491.36,89.999,49.911,Char.k,Char.g,k
1759074608441.314,1759074608541.718,101.474,-50.027,Char.t,Char.k,t
1759074608571.757,1759074608672.674,100.023,29.733,Char.p,Char.t,p
1759074609085.3,1759074609196.373,110.511,413.366,Char.d,Char.p,d
1759074609166.193,1759074609246.418,80.354,-29.781,Char.y,Char.d,y
1759074609361.462,1759074609457.662,95.698,115.268,Key.space,Char.y,
1759074610963.628,1759074611054.173,90.75,1506.28,Char.w,Key.space,w
1759074611018.886,1759074611093.728,75.087,-35.322,Char.j,Char.w,j
1759074611149.624,1759074611225.776,76.025,55.62,Char.s,Char.j,s
1759074611186.881,1759074611265.942,78.45,-38.711,Char.m,Char.s,m
1759074611302.016,1759074611410.876,107.58,37.167,Char.s,Char.m,s
1759074611366.593,1759074611466.802,100.735,-44.329,Key.space,Char.s,
1759074611497.769,1759074611608.969,111.516,30.58,Char.w,Key.space,w
1759074611573.705,1759074611647.902,74.587,-35.331,Char.k,Char.w,k
1759074611674.272,1759074611769.513,95.437,25.593,Char.d,Char.k,d
1759074611835.365,1759074611950.184,115.427,65.974,Char.d,Char.d,d
1759074611935.302,1759074612040.91,105.473,-15.022,Char.u,Char.d,u
1759074612096.339,1759074612173.635,76.507,55.615,Char.w,Char.u,w
1759074612182.776,1759074612293.513,110.1,9.671,Char.l,Char.w,l
1759074612278.272,1759074612383.424,105.61,-14.932,Char.s,Char.l,s
1759074612409.473,1759074612545.183,135.803,25.236,Char.d,Char.s,d
1759074612499.773,1759074612597.268,97.267,-45.033,Char.l,Char.d,l
1759074612580.682,1759074612666.442,86.367,-16.782,Char.f,Char.l,f
1759074612655.246,1759074612746.201,90.428,-10.873,Char.k,Char.f,k
1759074612726.999,1759074612836.985,110.759,-19.622,Char.r,Char.k,r
