ts_down,ts_up,dwell_ms,flight_ms,code,prev_code,key
1762235620379.894,1762235620487.157,107.262,5327.759,Char.d,Char.l,d
1762235620494.324,1762235620778.749,284.422,7.17,Char.k,Char.d,k
1762235620621.587,1762235620796.196,174.605,-157.159,Char.s,Char.k,s
1762235620766.75,1762235620937.303,170.552,-29.444,Key.space,Char.s,
1762235620714.185,1762235620967.704,253.493,-223.115,Char.l,Key.space,l
1762235621668.326,1762235621773.554,105.225,700.648,Char.w,Char.l,w
1762235621737.029,1762235621864.577,127.543,-36.521,Char.k,Char.w,k
1762235621923.541,1762235622085.136,161.592,58.968,Key.shift_r,Char.k,
1762235622130.577,1762235622308.496,177.915,45.445,Char.k,Key.shift_r,k
1762235622221.735,1762235622362.943,141.205,-86.757,Char.s,Char.k,s
1762235621850.225,1762235622508.773,658.545,-512.715,Char.a,Char.s,a
1762235622438.886,1762235622629.271,190.383,-69.885,Char.k,Char.a,k
1762235622534.635,1762235622699.568,164.93,-94.632,Char.s,Char.k,s
1762235622951.911,1762235623093.168,141.252,252.344,Key.space,Char.s,
1762235623158.889,1762235623304.64,145.745,65.727,Char.s,Key.space,s
1762235623254.684,1762235623479.922,225.236,-49.951,Char.k,Char.s,k
1762235623626.303,1762235623767.405,141.098,146.382,Key.space,Char.k,
1762235624019.339,1762235624181.308,161.964,251.938,Char.v,Key.space,v
1762235624150.638,1762235624301.978,151.336,-30.665,Char.o,Char.v,o
1762235624311.881,1762235624403.201,91.315,9.908,Char.x,Char.o,x
1762235624377.767,1762235624504.041,126.269,-25.43,Char.j,Char.x,j
1762235624493.235,1762235624594.229,100.989,-10.8,Char.s,Char.j,s
1762235624680.223,1762235624765.574,85.347,85.999,Char.g,Char.s,g
1762235624754.424,1762235624895.38,140.954,-11.146,Char.k,Char.g,k
1762235624870.974,1762235624955.541,84.563,-24.403,Char.r,Char.k,r
1762235625056.875,1762235625218.049,161.169,101.337,Char.t,Char.r,t
1762235625143.561,1762235625268.819,125.253,-74.482,Char.m,Char.t,m
1762235625293.526,1762235625447.665,154.134,24.712,Char.q,Char.m,q
1762235625434.68,1762235625590.615,155.931,-12.982,Key.space,Char.q,
1762235625601.648,1762235625721.88,120.227,11.039,Char.q,Key.space,q
1762235625681.364,1762235625807.23,125.861,-40.511,Char.j,Char.q,j
1762235625867.991,1762235626005.378,137.383,60.766,Char.x,Char.j,x
1762235625988.496,1762235626139.125,150.613,-16.877,Char.m,Char.x,m
1762235626104.106,1762235626230.977,126.866,-35.003,Char.s,Char.m,s
1762235626222.024,1762235626370.747,148.72,-8.949,Key.space,Char.s,
1762235626380.832,1762235626492.147,111.31,10.087,Char.s,Key.space,s
1762235626471.876,1762235626599.152,127.27,-20.265,Char.n,Char.s,n
1762235626611.468,1762235626713.609,102.135,12.322,Char.f,Char.n,f
1762235626724.279,1762235626854.443,130.16,10.676,Char.m,Char.f,m
1762235626814.495,1762235626925.485,110.985,-39.945,Char.f,Char.m,f
1762235627016.372,1762235627147.911,131.536,90.892,Char.s,Char.f,s
1762235627132.758,1762235627277.371,144.608,-15.149,Char.m,Char.s,m
1762235627246.856,1762235627388.708,141.845,-30.509,Char.s,Char.m,s
1762235627549.104,1762235627679.845,130.739,160.402,Char.r,Char.s,r
1762235627619.506,1762235627810.856,191.343,-60.336,Char.j,Char.r,j
1762235627719.894,1762235627860.896,141.0,-90.957,Key.space,Char.j,
1762235627901.209,1762235628153.085,251.872,40.316,Key.shift_r,Key.space,
1762235628184.106,1762235628354.52,170.411,31.026,Char.k,Key.shift_r,k
1762235628324.34,1762235628445.604,121.258,-30.176,Char.a,Char.k,a
1762235628396.01,1762235628555.909,159.896,-49.589,Char.j,Char.a,j
1762235628527.496,1762235628626.7,99.198,-28.41,Char.r,Char.j,r
1762235628662.335,1762235628807.883,145.545,35.641,Char.d,Char.r,d
1762235628707.393,1762235628838.277,130.879,-100.487,Char.j,Char.d,j
1762235525699.504,1762235629059.718,103360.208,-103138.768,Char.T,Char.j,T
1762235628853.296,1762235629115.041,261.739,-206.416,Key.shift_r,Char.T,
1762235629196.098,1762235629306.806,110.703,81.063,Char.w,Key.shift_r,w
1762235629290.629,1762235629432.797,142.162,-16.171,Char.k,Char.w,k
1762235629372.685,1762235629507.982,135.294,-60.108,Char.s,Char.k,s
1762235629490.332,1762235629603.939,113.602,-17.646,Char.g,Char.s,g
1762235629659.777,1762235629783.43,123.646,55.844,Char.d,Char.g,d
1762235629739.784,1762235629865.759,125.97,-43.639,Char.k,Char.d,k
1762235629966.986,1762235630047.323,80.333,101.231,Char..,Char.k,.
1762235636643.082,1762235636798.806,155.718,6595.764,Key.enter,Char..,
1762235636507.384,1762235636818.912,311.524,-291.417,Key.shift,Key.enter,
1762235636950.392,1762235637070.878,120.483,131.486,Char.e,Key.shift,e
1762235637011.039,1762235637131.966,120.923,-59.837,Char.k,Char.e,k
1762235637177.212,1762235637294.345,117.127,45.251,Char.t,Char.k,t
1762235637263.681,1762235637473.897,210.217,-30.665,Char.l,Char.t,l
1762235637369.888,1762235637535.724,165.832,-104.005,Key.space,Char.l,
1762235638588.327,1762235638713.461,125.13,1052.608,Char.T,Key.space,T
1762235638511.039,1762235638732.607,221.565,-202.419,Key.shift_r,Char.T,
1762235638838.974,1762235638955.849,116.845,106.372,Char.q,Key.shift_r,q
1762235639165.889,1762235639257.26,91.365,210.069,Key.backspace,Char.q,
1762235639322.177,1762235639407.722,85.539,64.923,Key.backspace,Key.backspace,
1762235639507.746,1762235639668.878,161.128,100.03,Key.shift_r,Key.backspace,
1762235639739.825,1762235639861.162,121.321,70.951,Char.j,Key.shift_r,j
1762235639845.425,1762235639962.139,116.708,-15.72,Char.q,Char.j,q
1762235639952.094,1762235640072.133,120.032,-10.039,Char.h,Char.q,h
1762235640062.475,1762235640186.435,123.956,-9.65,Char.w,Char.h,w
1762235640173.188,1762235640303.743,130.552,-13.245,Char.k,Char.w,k
1762235640435.207,1762235640525.053,89.842,131.467,Char..,Char.k,.
1762235640626.783,1762235640776.585,149.8,101.734,Char..,Char..,.
1762235640761.684,1762235640887.488,125.801,-14.9,Key.space,Char..,
1762235642630.37,1762235642750.535,120.162,1742.886,Char.w,Key.space,w
1762235642741.187,1762235642866.828,125.634,-9.345,Char.l,Char.w,l
1762235642884.45,1762235643015.645,131.19,17.629,Char.r,Char.l,r
1762235642968.444,1762235643098.212,129.764,-47.196,Char.m,Char.r,m
1762235643062.822,1762235643189.609,126.79,-35.394,Char.a,Char.m,a
1762235643164.281,1762235643309.535,145.251,-25.324,Key.space,Char.a,
1762235643345.393,1762235643500.972,155.575,35.862,Char.d,Key.space,d
1762235643476.071,1762235643637.001,160.926,-24.897,Char.l,Char.d,l
1762235643546.569,1762235643682.438,135.864,-90.427,Char.a,Char.l,a
1762235643788.632,1762235643894.402,105.764,106.198,Char.q,Char.a,q
1762235643891.935,1762235644010.197,118.257,-2.461,Char.p,Char.q,p
1762235644171.114,1762235644327.001,155.884,160.922,Char.q,Char.p,q
1762235644659.393,1762235644779.63,120.235,332.393,Key.backspace,Char.q,
1762235644820.691,1762235644972.627,151.933,41.065,Char.e,Key.backspace,e
1762235644961.442,1762235645112.434,150.989,-11.183,Char.l,Char.e,l
1762235645132.332,1762235645273.747,141.41,19.9,Char.e,Char.l,e
1762235645209.291,1762235645405.889,196.592,-64.45,Char.m,Char.e,m
1762235645329.898,1762235645485.709,155.806,-75.987,Key.space,Char.m,
