ts_down,ts_up,dwell_ms,flight_ms,code,prev_code,key
1762846311708.762,1762846311879.808,171.044,18082.648,"Char.,",Char.s,","
1762846312046.984,1762846312212.284,165.296,167.177,Key.space,"Char.,",
1762846312293.076,1762846312423.525,130.447,80.797,Char.v,Key.space,v
1762846312393.845,1762846312524.301,130.453,-29.677,Char.o,Char.v,o
1762846312559.691,1762846312654.975,95.282,35.393,Char.x,Char.o,x
1762846312635.552,1762846312765.991,130.437,-19.421,Char.j,Char.x,j
1762846312735.878,1762846312866.912,131.033,-30.111,Char.s,Char.j,s
1762846312846.719,1762846312987.345,140.625,-20.193,Key.space,Char.s,
1762846312962.365,1762846313047.897,85.53,-24.977,Char.g,Key.space,g
1762846313058.396,1762846313198.812,140.414,10.501,Char.k,Char.g,k
1762846313148.726,1762846313239.163,90.433,-50.084,Char.r,Char.k,r
1762846313309.802,1762846313410.365,100.561,70.643,Char.t,Char.r,t
1762846313381.029,1762846313500.877,119.844,-29.333,Char.m,Char.t,m
1762846313455.846,1762846313571.237,115.389,-45.027,Char.q,Char.m,q
1762846313643.158,1762846313772.863,129.703,71.922,Char.d,Char.q,d
1762846313753.167,1762846313873.762,120.591,-19.694,Char.m,Char.d,m
1762846313829.058,1762846313934.098,105.037,-44.7,Char.f,Char.m,f
1762846313909.027,1762846314045.373,136.34,-25.069,Key.space,Char.f,
1762846314146.911,1762846314291.543,144.631,101.543,Char.t,Key.space,t
1762846314251.983,1762846314387.132,135.148,-39.559,Char.l,Char.t,l
1762846314372.183,1762846314508.197,136.011,-14.947,Char.w,Char.l,w
1762846314452.665,1762846314598.708,146.04,-55.53,Char.k,Char.w,k
1762846314553.829,1762846314648.979,95.149,-44.876,Char.r,Char.k,r
1762846314760.202,1762846314881.439,121.238,111.221,Char.g,Char.r,g
1762846314851.086,1762846314952.016,100.925,-30.351,Char.o,Char.g,o
1762846315051.526,1762846315153.012,101.481,99.515,Char.T,Char.o,T
1762846315006.71,1762846315183.439,176.726,-146.299,Key.shift_r,Char.T,
1762846315228.415,1762846315343.978,115.561,44.981,Char.d,Key.shift_r,d
1762846315299.145,1762846315404.75,105.603,-44.832,Char.j,Char.d,j
1762846315440.121,1762846315576.427,136.302,35.374,Char.d,Char.j,d
1762846315515.832,1762846315636.597,120.76,-60.593,Char.y,Char.d,y
1762846315762.267,1762846315928.262,165.993,125.676,Char..,Char.y,.
1762846315938.212,1762846316018.73,80.5,9.952,Key.space,Char..,
1762846317827.031,1762846317962.405,135.371,1808.318,"Char.""",Key.space,""""
1762846317756.689,1762846317982.896,226.206,-205.713,Key.shift_r,"Char.""",
1762846318148.76,1762846318269.646,120.884,165.866,Key.space,Key.shift_r,
