ts_down,ts_up,dwell_ms,flight_ms,code,prev_code,key
1762236867938.111,1762236868026.037,87.924,10740.887,Key.up,Key.enter,
1762236868794.093,1762236868859.347,65.251,768.059,Key.enter,Key.up,
1762236879353.747,1762236879675.575,321.827,10494.402,Key.ctrl_l,Key.enter,
1762236879912.556,1762236880079.257,166.698,236.983,Char.d,Key.ctrl_l,d
1762236880068.7,1762236880229.972,161.253,-10.553,Char.l,Char.d,l
1762236880336.344,1762236880471.742,135.397,106.389,Char.j,Char.l,j
1762236880697.957,1762236880793.431,95.468,226.217,Key.backspace,Char.j,
1762236881130.749,1762236881237.187,106.434,337.323,Key.backspace,Key.backspace,
1762236881342.533,1762236881488.53,145.993,105.351,Char.d,Key.backspace,d
1762236881524.588,1762236881639.793,115.204,36.06,Char.l,Char.d,l
1762236881654.411,1762236881780.388,125.976,14.62,Char.w,Char.l,w
1762236881755.808,1762236881881.786,125.976,-24.58,Char.j,Char.w,j
1762236881846.244,1762236881951.553,105.306,-35.538,Char.d,Char.j,d
1762236882043.044,1762236882183.67,140.623,91.494,Char.e,Char.d,e
1762236882143.601,1762236882243.572,99.968,-40.066,Char.h,Char.e,h
1762236882289.393,1762236882439.971,150.576,45.824,Char.a,Char.h,a
1762236882374.635,1762236882470.288,95.65,-65.334,Char.u,Char.a,u
1762236882535.792,1762236882652.109,116.315,65.508,Char.s,Char.u,s
1762236882641.547,1762236882752.27,110.719,-10.561,Key.space,Char.s,
1762236883432.413,1762236883623.542,191.126,680.148,Char.c,Key.space,c
1762236883528.229,1762236883670.943,142.711,-95.312,Char.n,Char.c,n
1762236883658.618,1762236883784.515,125.895,-12.321,Char.d,Char.n,d
1762236884827.166,1762236884907.625,80.456,1042.653,Char.q,Char.d,q
1762236884877.466,1762236885028.522,151.053,-30.156,Char.n,Char.q,n
1762236885017.637,1762236885169.301,151.662,-10.882,Char.s,Char.n,s
1762236885204.587,1762236885331.253,126.663,35.287,Char.g,Char.s,g
1762236885275.718,1762236885416.624,140.903,-55.531,Char.k,Char.g,k
1762236885386.416,1762236885577.163,190.744,-30.205,Char.s,Char.k,s
1762236885522.39,1762236885668.208,145.813,-54.77,Char.r,Char.s,r
1762236885607.841,1762236885738.319,130.476,-60.362,Char.k,Char.r,k
1762236885930.555,1762236886091.245,160.686,192.237,Char.?,Char.k,?
1762236885839.433,1762236886100.815,261.377,-251.808,Key.shift_r,Char.?,
1762236888568.423,1762236889499.983,931.557,2467.612,Key.backspace,Key.shift_r,
1762236892552.364,1762236892682.04,129.675,3052.384,Char.d,Key.backspace,d
1762236892652.382,1762236892752.559,100.174,-29.656,Char.k,Char.d,k
