ts_down,ts_up,dwell_ms,flight_ms,code,prev_code,key
1762236419698.887,1762236419834.494,135.604,49361.829,Char.d,Key.backspace,d
1762236419805.277,1762236420006.664,201.383,-29.214,Char.k,Char.d,k
1762236420036.3,1762236420147.97,111.659,29.64,Char.s,Char.k,s
1762236420590.409,1762236420723.361,132.95,442.45,Char.s,Char.s,s
1762236420711.09,1762236420811.44,100.348,-12.269,Char.u,Char.s,u
1762236420827.549,1762236420983.505,155.954,16.112,Char.d,Char.u,d
1762236422040.281,1762236422206.942,166.658,1056.778,Key.enter,Char.d,
1762236423688.481,1762236423798.054,109.569,1481.542,Char.q,Key.enter,q
1762236423834.325,1762236423969.578,135.247,36.276,Char.h,Char.q,h
1762236424009.696,1762236424181.068,171.37,40.123,Char.x,Char.h,x
1762236424140.824,1762236424270.948,130.12,-40.24,Char.h,Char.x,h
1762236424281.093,1762236424441.929,160.834,10.148,Char.d,Char.h,d
1762236424427.028,1762236424557.74,130.709,-14.899,Key.space,Char.d,
1762236424719.809,1762236424850.688,130.86,162.072,Char.l,Key.space,l
1762236425152.193,1762236425262.897,110.702,301.523,Key.backspace,Char.l,
1762236425288.504,1762236425413.776,125.271,25.609,Char.c,Key.backspace,c
1762236425395.161,1762236425555.89,160.724,-18.614,Char.l,Char.c,l
1762236425565.805,1762236425685.871,120.063,9.921,Char.f,Char.l,f
1762236425695.938,1762236425917.524,221.584,10.068,Key.shift_r,Char.f,
1762236426054.031,1762236426255.477,201.446,136.507,Char.o,Key.shift_r,o
1762236426169.101,1762236426300.744,131.638,-86.373,Key.space,Char.o,
1762236426310.969,1762236426441.6,130.637,10.222,Char.c,Key.space,c
1762236426432.854,1762236426562.074,129.214,-8.743,Char.j,Char.c,j
1762236426510.84,1762236426632.545,121.704,-51.229,Char.s,Char.j,s
1762236426683.114,1762236426823.974,140.857,50.571,Char.c,Char.s,c
1762236426809.29,1762236426944.707,135.415,-14.68,Char.j,Char.c,j
1762236426920.893,1762236427025.423,104.529,-23.813,Char.s,Char.j,s
1762236427206.619,1762236427308.031,101.408,181.199,Char.g,Char.s,g
1762236427318.515,1762236427448.913,130.393,10.487,Char.l,Char.g,l
1762236427393.3,1762236427519.094,125.792,-55.608,Key.space,Char.l,
1762236427600.639,1762236427745.251,144.61,81.547,Char.c,Key.space,c
1762236427735.458,1762236427882.06,146.595,-9.791,Char.j,Char.c,j
1762236428067.945,1762236428173.554,105.606,185.89,Key.backspace,Char.j,
1762236428274.636,1762236428374.547,99.909,101.086,Char.u,Key.backspace,u
1762236428673.198,1762236428787.443,114.243,298.653,Char.?,Char.u,?
1762236428581.151,1762236428807.595,226.441,-206.289,Key.shift_r,Char.?,
1762236429492.93,1762236429658.737,165.804,685.337,Key.enter,Key.shift_r,
1762236429769.409,1762236430072.458,303.046,110.676,Key.shift_r,Key.enter,
1762236430178.046,1762236430345.074,167.018,105.591,Char.k,Key.shift_r,k
1762236430334.568,1762236430434.524,99.953,-10.498,Char.f,Char.k,f
1762236430571.092,1762236430711.468,140.372,136.573,Char.f,Char.f,f
1762236430729.453,1762236430833.08,103.621,17.99,Char.l,Char.f,l
1762236430983.12,1762236431134.117,150.993,150.046,Key.space,Char.l,
1762236431159.589,1762236431325.394,165.803,25.476,Char.c,Key.space,c
1762236431290.787,1762236431396.616,105.824,-34.604,Char.u,Char.c,u
1762236431627.994,1762236431936.096,308.099,231.381,Key.shift_r,Char.u,
1762236431996.059,1762236432177.314,181.25,59.966,Key.space,Key.shift_r,
1762236432342.616,1762236432572.272,229.654,165.308,Key.shift_r,Key.space,
1762236432655.385,1762236432806.533,151.143,83.116,Char.k,Key.shift_r,k
1762236432746.305,1762236432847.617,101.306,-60.223,Char.f,Char.k,f
1762236432942.944,1762236432997.558,54.61,95.333,Char.f,Char.f,f
1762236433027.184,1762236433169.034,141.844,29.63,Char.l,Char.f,l
1762236433179.363,1762236433349.795,170.43,10.335,Char.c,Char.l,c
1762236433326.956,1762236433491.306,164.347,-22.837,Char.l,Char.c,l
1762236433546.097,1762236433683.915,137.814,54.795,Char.r,Char.l,r
1762236433672.177,1762236433833.194,161.013,-11.734,Char.h,Char.r,h
1762236433757.65,1762236433903.665,146.014,-75.542,Key.space,Char.h,
1762236433873.955,1762236434025.099,151.14,-29.707,Char.d,Key.space,d
1762236433980.123,1762236434116.291,136.162,-44.971,Char.h,Char.d,h
1762236434261.849,1762236434387.097,125.246,145.564,Char.x,Char.h,x
1762236434322.203,1762236434519.173,196.965,-64.892,Char.k,Char.x,k
1762236434624.495,1762236434734.485,109.988,105.327,Char.e,Char.k,e
1762236434986.27,1762236435076.984,90.712,251.786,Key.backspace,Char.e,
1762236435132.756,1762236435228.222,95.463,55.775,Char.r,Key.backspace,r
1762236435248.383,1762236435450.467,202.079,20.163,Char.k,Char.r,k
1762236435399.945,1762236435552.075,152.124,-50.518,Key.space,Char.k,
1762236435571.587,1762236435681.151,109.562,19.519,Char.s,Key.space,s
1762236435666.147,1762236435771.99,105.841,-15.001,Char.k,Char.s,k
1762236435802.872,1762236435913.089,110.214,30.884,Char.s,Char.k,s
1762236435898.473,1762236436023.952,125.475,-14.613,Char.m,Char.s,m
1762236435989.213,1762236436074.511,85.293,-34.736,Char.s,Char.m,s
1762236436285.782,1762236436352.282,66.498,211.276,Char.r,Char.s,r
1762236436310.663,1762236436426.61,115.945,-41.617,Char.n,Char.r,n
1762236436472.11,1762236436628.642,156.53,45.502,Char.s,Char.n,s
1762236436618.553,1762236436739.373,120.819,-10.087,Char.k,Char.s,k
1762236436915.543,1762236437051.987,136.418,176.172,Char.!,Char.k,!
1762236436839.596,1762236437212.29,372.689,-212.366,Key.shift_r,Char.!,
1762236437891.656,1762236438053.103,161.444,679.371,Key.enter,Key.shift_r,
1762236445964.834,1762236446130.302,165.448,7911.735,Char.4,Key.enter,4
1762236446438.121,1762236446714.745,276.623,307.837,Char.t,Char.4,t
