ts_down,ts_up,dwell_ms,flight_ms,code,prev_code,key
1762846274134.134,1762846274229.779,95.642,12256.507,Char.g,Char.a,g
1762846274194.349,1762846274370.959,176.609,-35.427,Char.k,Char.g,k
1762846274330.889,1762846274421.378,90.485,-40.068,Char.r,Char.k,r
1762846274517.832,1762846274612.562,94.728,96.458,Char.t,Char.r,t
1762846274587.367,1762846274713.079,125.709,-25.192,Char.m,Char.t,m
1762846274699.148,1762846274823.884,124.733,-13.929,Char.q,Char.m,q
1762846274798.769,1762846274945.084,146.311,-25.113,Key.space,Char.q,
1762846274955.622,1762846275096.698,141.07,10.542,Char.w,Key.space,w
1762846275191.445,1762846276148.245,956.796,94.752,Key.backspace,Char.w,
1762846276123.126,1762846276239.188,116.06,-25.115,Char.None,Key.backspace,
1762846276224.15,1762846276314.562,90.409,-15.036,Char.g,Char.None,g
1762846276410.635,1762846276500.488,89.851,96.076,Char.r,Char.g,r
1762846276304.521,1762846276510.882,206.359,-195.964,Char.k,Char.r,k
1762846276596.791,1762846276727.276,130.482,85.911,Char.t,Char.k,t
1762846276677.071,1762846276827.997,150.923,-50.202,Char.m,Char.t,m
1762846276793.014,1762846276938.948,145.93,-34.981,Char.q,Char.m,q
1762846276928.75,1762846277089.806,161.054,-10.193,Key.space,Char.q,
1762846288510.176,1762846288580.719,70.542,11420.371,Key.backspace,Key.space,
1762846288666.602,1762846288751.947,85.343,85.884,Key.backspace,Key.backspace,
1762846288822.359,1762846288892.747,70.386,70.413,Key.backspace,Key.backspace,
1762846288963.477,1762846289043.698,80.217,70.733,Key.backspace,Key.backspace,
1762846289094.43,1762846289235.275,140.827,50.736,Char.v,Key.backspace,v
1762846289215.841,1762846289376.369,160.527,-19.416,Char.o,Char.v,o
1762846289386.701,1762846289491.927,105.224,10.333,Char.x,Char.o,x
1762846289483.251,1762846289617.862,134.608,-8.673,Char.j,Char.x,j
1762846289599.101,1762846289719.109,120.003,-18.759,Char.s,Char.j,s
1762846289658.324,1762846289769.688,111.359,-60.78,Key.space,Char.s,
1762846289788.767,1762846289860.234,71.463,19.085,Char.g,Key.space,g
1762846289850.408,1762846290000.687,150.276,-9.822,Char.k,Char.g,k
1762846289960.681,1762846290021.361,60.675,-40.003,Char.r,Char.k,r
1762846290096.706,1762846290212.031,115.322,75.35,Char.t,Char.r,t
1762846290166.938,1762846290292.818,125.877,-45.089,Char.m,Char.t,m
1762846290302.995,1762846290434.064,131.067,10.179,Char.q,Char.m,q
1762846290403.386,1762846290524.295,120.905,-30.676,Key.space,Char.q,
1762846290554.855,1762846290675.488,120.629,30.564,Char.t,Key.space,t
1762846290661.141,1762846290776.178,115.034,-14.343,Char.l,Char.t,l
1762846290742.101,1762846290887.407,145.304,-34.075,Char.w,Char.l,w
1762846290832.063,1762846290967.476,135.41,-55.342,Char.k,Char.w,k
1762846290932.788,1762846291057.917,125.127,-34.685,Char.r,Char.k,r
1762846291017.803,1762846291138.727,120.92,-40.112,Key.space,Char.r,
1762846291159.269,1762846291279.797,120.526,20.545,Char.q,Key.space,q
1762846291255.299,1762846291370.122,114.822,-24.496,Char.j,Char.q,j
1762846291385.432,1762846291551.837,166.401,15.313,Char.x,Char.j,x
1762846291506.541,1762846291632.006,125.463,-45.293,Char.m,Char.x,m
1762846291713.168,1762846291804.342,91.171,81.164,Char.d,Char.m,d
1762846292120.398,1762846292221.587,101.182,316.059,Key.backspace,Char.d,
1762846292292.269,1762846292402.757,110.485,70.688,Char.s,Key.backspace,s
1762846292509.29,1762846292624.226,114.935,106.535,Char.d,Char.s,d
1762846292614.401,1762846292765.65,151.245,-9.823,Char.m,Char.d,m
1762846292715.335,1762846292820.481,105.145,-50.311,Char.f,Char.m,f
1762846292800.759,1762846292941.459,140.7,-19.723,Key.space,Char.f,
1762846292921.526,1762846293031.886,110.358,-19.931,Char.s,Key.space,s
1762846293011.754,1762846293102.389,90.632,-20.13,Char.n,Char.s,n
1762846293112.71,1762846293243.385,130.673,10.324,Char.f,Char.n,f
1762846293208.407,1762846293303.781,95.372,-34.976,Char.m,Char.f,m
1762846293324.049,1762846293455.281,131.228,20.27,Char.a,Char.m,a
1762846293389.437,1762846293465.694,76.254,-65.84,Char.u,Char.a,u
1762846293500.898,1762846293626.115,125.215,35.208,Char.s,Char.u,s
