ts_down,ts_up,dwell_ms,flight_ms,code,prev_code,key
1762839646607.077,1762839646732.436,125.349,,Char.f,,f
1762839646533.935,1762839646742.344,208.404,-198.492,Char.s,Char.f,s
1762839646541.126,1762839646752.475,211.346,-201.213,Char.d,Char.s,d
1762839646894.656,1762839647029.598,134.941,142.183,Char.f,Char.d,f
1762839646843.046,1762839647034.309,191.261,-186.55,Char.s,Char.f,s
1762839646829.46,1762839647044.568,215.108,-204.849,Char.d,Char.s,d
1762839647105.491,1762839647287.835,182.341,60.924,Char.s,Char.d,s
1762839647115.177,1762839647306.87,191.689,-172.654,Char.d,Char.s,d
1762839647130.307,1762839647468.694,338.385,-176.559,Char.f,Char.d,f
1762839647422.054,1762839647628.587,206.53,-46.637,Char.s,Char.f,s
1762839647407.339,1762839647659.107,251.766,-221.245,Char.d,Char.s,d
1762839647558.229,1762839647764.683,206.451,-100.876,Char.f,Char.d,f
1762839647754.771,1762839647940.685,185.913,-9.91,Char.s,Char.f,s
1762839647789.812,1762839647981.025,191.21,-150.871,Char.d,Char.s,d
1762839647895.577,1762839648081.754,186.174,-85.445,Char.f,Char.d,f
1762839648061.628,1762839648243.161,181.53,-20.123,Char.s,Char.f,s
1762839648122.27,1762839648263.022,140.75,-120.888,Char.d,Char.s,d
1762839648192.667,1762839648403.913,211.242,-70.352,Char.f,Char.d,f
1762839648368.858,1762839648544.868,176.008,-35.052,Char.s,Char.f,s
1762839648389.077,1762839648585.192,196.113,-155.789,Char.d,Char.s,d
1762839648499.83,1762839648696.079,196.247,-85.36,Char.f,Char.d,f
1762839648671.341,1762839648857.843,186.499,-24.736,Char.s,Char.f,s
1762839648771.935,1762839648908.388,136.448,-85.905,Char.f,Char.s,f
1762839648706.162,1762839648917.64,211.477,-202.221,Char.d,Char.f,d
1762839649901.057,1762839650051.639,150.577,983.417,Char.f,Char.d,f
1762839649970.774,1762839650187.367,216.59,-80.86,Char.s,Char.f,s
1762839649911.647,1762839650217.108,305.459,-275.717,Char.d,Char.s,d
1762839650132.194,1762839650332.585,200.388,-84.913,Char.f,Char.d,f
1762839650287.655,1762839650504.17,216.513,-44.927,Char.d,Char.f,d
1762839650393.5,1762839650564.388,170.887,-110.668,Char.f,Char.d,f
1762839650574.86,1762839650737.404,162.538,10.474,Char.d,Char.f,d
1762839650639.858,1762839650776.146,136.281,-97.541,Char.f,Char.d,f
1762839650836.268,1762839650972.907,136.637,60.129,Char.f,Char.f,f
1762839650821.158,1762839650977.92,156.76,-151.746,Char.d,Char.f,d
