ts_down,ts_up,dwell_ms,flight_ms,code,prev_code,key
1762846324569.654,1762846324765.148,195.492,6300.01,Char.v,Key.space,v
1762846324725.085,1762846324876.053,150.967,-40.061,Char.k,Char.v,k
1762846324891.509,1762846325017.75,126.239,15.457,Char.d,Char.k,d
1762846324967.395,1762846325118.199,150.8,-50.352,Char.l,Char.d,l
1762846325198.556,1762846325293.94,95.381,80.36,Char.v,Char.l,v
1762846325279.115,1762846325405.015,125.897,-14.822,Char.l,Char.v,l
1762846325530.875,1762846325616.381,85.503,125.862,Key.backspace,Char.l,
1762846325691.922,1762846325767.673,75.75,75.544,Key.backspace,Key.backspace,
1762846325847.923,1762846325928.982,81.058,80.251,Key.backspace,Key.backspace,
1762846325998.939,1762846326099.882,100.939,69.959,Key.backspace,Key.backspace,
1762846326146.207,1762846326255.868,109.658,46.329,Char.x,Key.backspace,x
1762846326246.887,1762846326357.073,110.181,-8.978,Char.k,Char.x,k
1762846326366.953,1762846326467.151,100.196,9.885,Char.d,Char.k,d
1762846326452.624,1762846326547.997,95.372,-14.525,Char.l,Char.d,l
1762846326578.318,1762846326678.786,100.466,30.323,Char.v,Char.l,v
1762846326648.981,1762846326769.402,120.419,-29.803,Char.l,Char.v,l
1762846327042.097,1762846327153.203,111.101,272.697,Char.d,Char.l,d
1762846327656.33,1762846327792.116,135.781,503.131,Key.space,Char.d,
1762846327832.273,1762846327932.705,100.428,40.163,Char.g,Key.space,g
1762846327902.574,1762846328043.364,140.787,-30.126,Char.o,Char.g,o
1762846328421.248,1762846328567.782,146.528,377.886,"Char.""",Char.o,""""
1762846328254.882,1762846328597.424,342.538,-312.895,Key.shift_r,"Char.""",
1762846328798.571,1762846328935.198,136.621,201.151,Char.None,Key.shift_r,
1762846329040.276,1762846329189.987,149.71,105.083,Key.space,Char.None,
1762846329216.871,1762846329322.103,105.229,26.886,Char.f,Key.space,f
1762846329282.089,1762846329423.275,141.184,-40.011,Char.k,Char.f,k
1762846329438.315,1762846329564.199,125.883,15.041,Char.r,Char.k,r
1762846329503.765,1762846329634.496,130.729,-60.432,Char.h,Char.r,h
1762846329800.621,1762846329886.859,86.237,166.126,Key.backspace,Char.h,
1762846329972.763,1762846330048.097,75.332,85.906,Key.backspace,Key.backspace,
1762846330123.515,1762846330198.952,75.435,75.42,Key.backspace,Key.backspace,
1762846330279.114,1762846330369.892,90.774,80.164,Key.backspace,Key.backspace,
1762846330460.347,1762846330591.222,130.873,90.458,Key.backspace,Key.backspace,
1762846330536.751,1762846330657.046,120.294,-54.47,Char.None,Key.backspace,
1762846330712.185,1762846330863.239,151.052,55.141,Char.f,Char.None,f
1762846330923.872,1762846331024.593,100.717,60.635,Char.k,Char.f,k
1762846331312.115,1762846331437.592,125.474,287.526,Char.r,Char.k,r
1762846331392.336,1762846331528.296,135.957,-45.253,Char.h,Char.r,h
1762846331462.307,1762846331558.092,95.783,-65.987,Key.space,Char.h,
1762846331588.111,1762846331729.56,141.446,30.022,Key.shift_r,Key.space,
1762846331880.422,1762846331941.34,60.914,150.865,Char.f,Key.shift_r,f
1762846331790.298,1762846331956.399,166.095,-151.038,Char.k,Char.f,k
1762846332016.354,1762846332122.103,105.747,59.961,Char.f,Char.k,f
1762846332076.899,1762846332192.616,115.715,-45.202,Char.u,Char.f,u
1762846332214.181,1762846332328.457,114.274,21.567,Char.t,Char.u,t
1762846332283.427,1762846332429.311,145.882,-45.027,Char.j,Char.t,j
1762846332373.774,1762846332489.532,115.756,-55.536,Key.space,Char.j,
1762846332470.183,1762846332560.513,90.329,-19.347,Char.q,Key.space,q
1762846332530.327,1762846332650.82,120.491,-30.185,Char.h,Char.q,h
1762846332661.396,1762846332822.392,160.993,10.578,Char.d,Char.h,d
1762846332741.649,1762846332852.724,111.073,-80.741,Char.u,Char.d,u
1762846334373.372,1762846334489.07,115.694,1520.652,Char..,Char.u,.
1762846334770.757,1762846334846.119,75.361,281.69,Key.enter,Char..,
