ts_down,ts_up,dwell_ms,flight_ms,code,prev_code,key
1762238669126.869,1762238669297.631,170.759,16834.269,Char.e,Key.esc,e
1762238669282.72,1762238669408.122,125.4,-14.908,Char.n,Char.e,n
1762238669771.622,1762238669893.27,121.646,363.501,Char.q,Char.n,q
1762238669884.736,1762238670008.614,123.874,-8.532,Char.j,Char.q,j
1762238670018.381,1762238670118.738,100.353,9.771,Char.s,Char.j,s
1762238670133.872,1762238670301.52,167.646,15.138,Key.shift_r,Char.s,
1762238670396.801,1762238670611.909,215.105,95.283,Char.o,Key.shift_r,o
1762238670482.152,1762238670621.677,139.523,-129.755,Key.space,Char.o,
1762238670642.285,1762238670752.832,110.543,20.612,Char.t,Key.space,t
1762238670727.802,1762238670833.191,105.386,-25.026,Char.n,Char.t,n
1762238670843.395,1762238670949.35,105.952,10.207,Char.w,Char.n,w
1762238670930.094,1762238671049.944,119.847,-19.254,Char.j,Char.w,j
1762238671075.638,1762238671200.746,125.105,25.697,Char.d,Char.j,d
1762238671338.222,1762238671442.74,104.514,137.48,Char.w,Char.d,w
1762238671408.269,1762238671513.646,105.371,-34.467,Char.n,Char.w,n
1762238671568.494,1762238671704.532,136.034,54.854,Char.d,Char.n,d
1762238671865.617,1762238672011.663,146.039,161.089,Char.d,Char.d,d
1762238671966.183,1762238672102.392,136.208,-45.474,Char.l,Char.d,l
1762238672079.843,1762238672172.855,93.01,-22.548,Char.q,Char.l,q
1762238672279.44,1762238672404.835,125.391,106.588,Char.s,Char.q,s
1762238672380.391,1762238672484.969,104.576,-24.44,Char.l,Char.s,l
1762238672468.52,1762238672556.625,88.099,-16.446,Char.e,Char.l,e
1762238672576.599,1762238672676.14,99.528,19.98,Char.k,Char.e,k
1762238672788.533,1762238672878.238,89.702,112.404,Char.~,Char.k,~
1762238672978.78,1762238673100.155,121.369,100.545,Char.!,Char.~,!
1762238672777.746,1762238673220.083,442.334,-322.404,Key.shift_r,Char.!,
1762238673441.514,1762238673733.93,292.396,221.436,Key.shift,Key.shift_r,
1762238673592.447,1762238673753.81,161.36,-141.464,Key.enter,Key.shift,
1762238673881.222,1762238674036.093,154.869,127.414,Char.r,Key.enter,r
1762238673960.867,1762238674056.341,95.471,-75.222,Char.h,Char.r,h
1762238673970.683,1762238674137.553,166.865,-85.655,Char.k,Char.h,k
1762238674334.039,1762238674438.552,104.51,196.491,Char.d,Char.k,d
1762238674409.231,1762238674549.689,140.456,-29.318,Char.u,Char.d,u
1762238674514.233,1762238674650.163,135.928,-35.453,Char.s,Char.u,s
1762238674594.572,1762238674740.751,146.177,-55.589,Key.space,Char.s,
1762238674856.947,1762238674992.949,136.001,116.198,Char.d,Key.space,d
1762238674977.966,1762238675113.319,135.352,-14.982,Char.l,Char.d,l
1762238675078.636,1762238675190.069,111.431,-34.681,Char.q,Char.l,q
1762238675179.807,1762238675324.963,145.153,-10.259,Char.j,Char.q,j
1762238675335.027,1762238675455.964,120.935,10.067,Char.s,Char.j,s
1762238675582.537,1762238675697.755,115.214,126.574,Char.d,Char.s,d
1762238675657.308,1762238675757.765,100.455,-40.443,Char.p,Char.d,p
1762238675813.684,1762238675910.245,96.56,55.919,Char.s,Char.p,s
1762238675884.25,1762238676024.95,140.697,-25.992,Char.m,Char.s,m
1762238676015.17,1762238676160.844,145.671,-9.778,Char.s,Char.m,s
1762238676140.517,1762238676261.655,121.137,-20.325,Key.space,Char.s,
1762238676287.57,1762238676382.359,94.787,25.917,Char.s,Key.space,s
1762238676373.198,1762238676493.834,120.634,-9.158,Char.k,Char.s,k
1762238676523.811,1762238676634.361,110.547,29.979,Char.f,Char.k,f
1762238676610.309,1762238676765.151,154.84,-24.05,Char.m,Char.f,m
1762238676720.124,1762238676836.243,116.117,-45.024,Char.f,Char.m,f
1762238676860.808,1762238676987.228,126.417,24.566,Key.space,Char.f,
1762238676977.963,1762238677173.106,195.139,-9.261,Char.v,Key.space,v
1762238677118.464,1762238677263.573,145.107,-54.638,Char.k,Char.v,k
1762238677208.143,1762238677304.062,95.916,-55.427,Char.s,Char.k,s
1762238677384.719,1762238677505.842,121.121,80.659,Char.e,Char.s,e
1762238677460.135,1762238677586.437,126.299,-45.705,Char.k,Char.e,k
1762238677540.483,1762238677666.366,125.881,-45.951,Char.s,Char.k,s
1762238677767.805,1762238677858.171,90.364,101.441,Char.g,Char.s,g
1762238677872.407,1762238677993.995,121.585,14.239,Char.k,Char.g,k
1762238677974.078,1762238678114.717,140.636,-19.915,Char.f,Char.k,f
1762238678095.985,1762238678216.058,120.069,-18.731,Key.space,Char.f,
1762238678246.89,1762238678377.174,130.28,30.838,Char.t,Key.space,t
1762238678337.039,1762238678456.852,119.811,-40.131,Char.n,Char.t,n
1762238678396.983,1762238678517.512,120.528,-59.868,Key.space,Char.n,
1762238678487.665,1762238678617.915,130.248,-29.845,Char.d,Key.space,d
1762238678583.335,1762238678668.674,85.337,-34.578,Char.l,Char.d,l
1762238678784.507,1762238678900.688,116.178,115.836,Char.T,Char.l,T
