ts_down,ts_up,dwell_ms,flight_ms,code,prev_code,key
1762846261077.339,1762846261157.633,80.291,3826.85,Char.j,Char.y,j
1762846261022.637,1762846261228.309,205.67,-134.994,Char.s,Char.j,s
1762846261007.609,1762846261238.314,230.704,-220.698,Char.d,Char.s,d
1762846261031.871,1762846261263.264,231.391,-206.442,Char.a,Char.d,a
1762846261133.237,1762846261268.548,135.308,-130.025,Char.l,Char.a,l
1762846261142.713,1762846261278.66,135.944,-125.832,Char.k,Char.l,k
1762846261248.376,1762846261379.238,130.86,-30.282,Char.j,Char.k,j
1762846261067.67,1762846261429.538,361.866,-311.566,Char.f,Char.j,f
1762846261349.073,1762846261464.803,115.729,-80.463,Char.k,Char.f,k
1762846261359.148,1762846261475.007,115.858,-105.653,Char.l,Char.k,l
1762846261419.739,1762846261521.136,101.395,-55.267,Char.s,Char.l,s
1762846261324.153,1762846261555.598,231.442,-196.981,Char.d,Char.s,d
1762846261455.12,1762846261586.558,131.434,-100.474,Char.j,Char.d,j
1762846261410.197,1762846261595.954,185.755,-176.358,Char.a,Char.j,a
1762846261535.541,1762846261666.2,130.657,-60.411,Char.l,Char.a,l
1762846261566.088,1762846261696.387,130.297,-100.11,Char.k,Char.l,k
1762846261642.3,1762846261731.652,89.352,-54.086,Char.j,Char.k,j
1762846261545.737,1762846261787.322,241.581,-185.913,Char.f,Char.j,f
1762846261676.786,1762846261867.93,191.141,-110.532,Char.d,Char.f,d
1762846261722.06,1762846261877.629,155.568,-145.868,Char.a,Char.d,a
