ts_down,ts_up,dwell_ms,flight_ms,code,prev_code,key
1760417762286.97,1760417762376.092,89.112,,Char.g,,g
1760417762402.029,1760417762567.037,164.982,25.946,Char.k,Char.g,k
1760417762481.361,1760417762576.943,95.567,-85.649,Char.r,Char.k,r
1760417762658.069,1760417762758.341,100.257,81.141,Char.t,Char.r,t
1760417762713.661,1760417762833.713,120.036,-44.664,Char.m,Char.t,m
1760417762823.935,1760417762950.099,126.142,-9.763,Char.q,Char.m,q
1760417763040.53,1760417763171.058,130.514,90.453,Char.g,Char.q,g
1760417763137.949,1760417763261.876,123.904,-33.094,Char.k,Char.g,k
1760417763242.578,1760417763388.735,146.135,-19.276,Char.w,Char.k,w
1760417763342.423,1760417763469.241,126.788,-46.29,Char.l,Char.w,l
1760417763619.492,1760417763700.181,80.665,150.28,Key.backspace,Char.l,
1760417763755.12,1760417763830.998,75.865,54.963,Key.backspace,Key.backspace,
1760417763851.361,1760417763962.058,110.685,20.376,Char.r,Key.backspace,r
1760417763947.085,1760417764133.618,186.507,-14.96,Char.l,Char.r,l
1760417764032.821,1760417764163.654,130.816,-100.771,Key.space,Char.l,
1760417764219.225,1760417764345.545,125.54,55.589,Char.r,Key.space,r
1760417764289.692,1760417764435.312,145.606,-55.073,Char.n,Char.r,n
1760417764366.527,1760417764496.141,129.589,-68.771,Char.l,Char.n,l
1760417764571.062,1760417764697.77,126.682,74.947,Char.k,Char.l,k
1760417764889.114,1760417764978.82,89.695,191.369,Char.c,Char.k,c
1760417765014.355,1760417765130.234,115.865,35.547,Char.k,Char.c,k
1760417765200.549,1760417765342.54,141.969,70.329,Char.s,Char.k,s
1760417765362.647,1760417765462.267,99.607,20.129,Char.g,Char.s,g
1760417765538.456,1760417765684.127,145.659,76.2,Char.d,Char.g,d
1760417765623.438,1760417765754.416,130.964,-60.675,Char.k,Char.d,k
1760417765693.79,1760417765804.617,110.813,-60.613,Key.space,Char.k,
1760417765870.965,1760417765956.463,85.484,66.362,Char.n,Key.space,n
1760417766057.305,1760417766147.03,89.712,100.856,Char.n,Char.n,n
1760417766218.383,1760417766327.327,108.932,71.366,Char.n,Char.n,n
1760417766666.278,1760417766802.162,135.862,338.963,Key.enter,Char.n,
1760417766858.488,1760417766953.522,94.405,56.349,Char.g,Key.enter,g
1760417766922.958,1760417767078.564,155.593,-29.934,Char.k,Char.g,k
1760417767043.304,1760417767134.088,90.77,-35.248,Char.r,Char.k,r
1760417767265.846,1760417767395.793,129.932,131.772,Char.t,Char.r,t
1760417767371.849,1760417767497.042,125.174,-23.929,Char.m,Char.t,m
1760417767441.046,1760417767567.397,126.336,-55.976,Char.q,Char.m,q
1760417768419.243,1760417768534.249,114.989,851.86,Char.r,Char.q,r
1760417768483.818,1760417768599.46,115.628,-50.415,Char.m,Char.r,m
1760417768559.94,1760417768695.043,135.09,-39.506,Char.a,Char.m,a
1760417768670.365,1760417768785.72,115.342,-24.664,Char.k,Char.a,k
1760417768741.348,1760417768876.193,134.826,-44.359,Char.s,Char.k,s
1760417768856.122,1760417768977.008,120.871,-20.053,Key.space,Char.s,
1760417768962.363,1760417769077.811,115.434,-14.63,Char.t,Key.space,t
1760417769058.548,1760417769188.493,129.931,-19.249,Char.l,Char.t,l
