ts_down,ts_up,dwell_ms,flight_ms,code,prev_code,key
1763442950652.836,1763442950753.39,100.549,9356.054,Key.backspace,Key.shift_r,
1763442950844.141,1763442950915.031,70.885,90.756,Key.backspace,Key.backspace,
1763442951010.194,1763442951116.063,105.867,95.167,Key.backspace,Key.backspace,
1763442940850.3,1763442951408.734,10558.43,-10265.76,Char.d,Key.backspace,d
1763442951398.453,1763442951550.098,151.623,-10.277,Char.k,Char.d,k
1763442951489.164,1763442951579.246,90.077,-60.911,Char.s,Char.k,s
1763442951635.073,1763442951791.246,156.17,55.831,Char.s,Char.s,s
1763442951801.423,1763442951922.419,120.99,10.18,Char.u,Char.s,u
1763442951872.328,1763442952040.469,168.137,-50.085,Char.d,Char.u,d
1763442952028.19,1763442952149.445,121.25,-12.276,Key.space,Char.d,
1763442952179.307,1763442952329.415,150.103,29.868,Char.d,Key.space,d
1763442952239.85,1763442952345.374,105.521,-89.56,Char.u,Char.d,u
1763442952370.217,1763442952485.942,115.721,24.846,Char.w,Char.u,w
1763442952445.901,1763442952636.871,190.966,-40.037,Char.l,Char.w,l
1763442952561.965,1763442952697.521,135.55,-74.902,Char.s,Char.l,s
1763442952758.439,1763442952878.531,120.087,60.924,Char.d,Char.s,d
1763442952793.282,1763442952923.1,129.813,-85.244,Char.k,Char.d,k
1763442953060.295,1763442953201.317,141.018,137.2,Char.!,Char.k,!
1763442953009.241,1763442953412.684,403.437,-192.074,Key.shift_r,Char.!,
1763442953523.421,1763442953664.431,141.005,110.742,Key.space,Key.shift_r,
1763442953709.889,1763442953825.221,115.326,45.465,Char.s,Key.space,s
1763442953800.291,1763442953951.027,150.73,-24.924,Char.k,Char.s,k
1763442953941.644,1763442954056.782,115.135,-9.378,Char.s,Char.k,s
1763442954082.528,1763442954187.695,105.161,25.749,Char.m,Char.s,m
1763442954152.767,1763442954278.545,125.772,-34.922,Char.s,Char.m,s
1763442954265.991,1763442954399.303,133.308,-12.549,Key.space,Char.s,
1763442955255.654,1763442955375.97,120.31,856.356,Char.e,Key.space,e
1763442955351.091,1763442955463.806,112.709,-24.873,Char.k,Char.e,k
1763442955487.314,1763442955612.724,125.407,23.513,Char.t,Char.k,t
1763442955582.776,1763442955733.804,151.023,-29.945,Char.l,Char.t,l
1763442955642.349,1763442955793.886,151.538,-91.456,Key.space,Char.l,
1763442955854.707,1763442956015.512,160.803,60.826,Char.g,Key.space,g
1763442955975.573,1763442956146.163,170.587,-39.937,Char.k,Char.g,k
1763442956157.411,1763442956257.321,99.905,11.251,Char.r,Char.k,r
1763442956358.179,1763442956468.898,110.713,100.861,Char.t,Char.r,t
1763442956574.736,1763442956720.462,145.722,105.846,Char.m,Char.t,m
1763442956851.773,1763442956992.217,140.441,131.315,Char.q,Char.m,q
1763442956972.029,1763442957103.114,131.082,-20.186,Key.space,Char.q,
1763442957168.776,1763442957314.768,145.977,65.666,Char.v,Key.space,v
1763442957334.952,1763442957517.999,183.042,20.198,Char.o,Char.v,o
1763442957506.231,1763442957677.347,171.112,-11.762,Char.x,Char.o,x
1763442957667.274,1763442957818.611,151.333,-10.069,Char.j,Char.x,j
1763442958467.819,1763442958553.228,85.39,649.211,Key.backspace,Char.j,
1763442958639.189,1763442958734.458,95.274,85.971,Key.backspace,Key.backspace,
1763442958795.014,1763442958895.942,100.926,60.56,Key.backspace,Key.backspace,
1763442958971.762,1763442959086.74,114.975,75.823,Key.backspace,Key.backspace,
1763442959142.463,1763442959308.544,166.077,55.726,Key.backspace,Key.backspace,
1763442959375.247,1763442959490.546,115.295,66.706,Key.backspace,Key.backspace,
1763442959536.633,1763442959661.24,124.59,46.091,Char.v,Key.backspace,v
1763442959641.979,1763442959792.438,150.452,-19.243,Char.o,Char.v,o
1763442959778.595,1763442959908.939,130.342,-13.838,Char.x,Char.o,x
1763442959898.866,1763442960044.068,145.199,-10.07,Char.j,Char.x,j
1763442959994.302,1763442960149.876,155.571,-49.763,Char.s,Char.j,s
1763442960139.515,1763442960285.452,145.932,-10.358,Key.space,Char.s,
1763442960326.369,1763442960416.547,90.173,40.921,Char.g,Key.space,g
1763442960391.719,1763442960567.662,175.938,-24.822,Char.k,Char.g,k
1763442960532.605,1763442960649.851,117.244,-35.052,Char.r,Char.k,r
1763442960738.983,1763442960870.053,131.068,89.134,Char.t,Char.r,t
1763442960828.954,1763442960960.226,131.267,-41.097,Char.m,Char.t,m
1763442960900.194,1763442961030.782,130.586,-60.027,Char.q,Char.m,q
1763442961116.396,1763442961292.715,176.313,85.617,Char.d,Char.q,d
1763442961227.8,1763442961333.743,105.93,-64.91,Char.m,Char.d,m
1763442961324.183,1763442961444.483,120.296,-9.548,Char.f,Char.m,f
1763442961408.16,1763442961534.887,126.722,-36.318,Key.space,Char.f,
1763442961595.643,1763442961746.414,150.767,60.761,Char.t,Key.space,t
1763442961811.72,1763442961946.881,135.157,65.311,Char.l,Char.t,l
1763442961917.311,1763442962048.016,130.691,-29.567,Char.w,Char.l,w
1763442962027.726,1763442962178.816,151.086,-20.276,Char.k,Char.w,k
1763442962118.203,1763442962209.716,91.508,-60.609,Char.r,Char.k,r
1763442962324.969,1763442962410.301,85.324,115.258,Char.g,Char.r,g
1763442962395.233,1763442962510.841,115.604,-15.059,Char.k,Char.g,k
1763442962526.58,1763442962672.32,145.735,15.742,Char.r,Char.k,r
1763442962627.213,1763442962738.955,111.738,-45.101,Char.h,Char.r,h
1763442962646.869,1763442962783.002,136.129,-92.083,Key.space,Char.h,
1763442962793.349,1763442962929.994,136.638,10.352,Char.d,Key.space,d
1763442962840.012,1763442962946.548,106.532,-89.974,Char.l,Char.d,l
1763442963005.066,1763442963185.898,180.827,58.52,Key.shift_r,Char.l,
1763442963241.673,1763442963407.578,165.901,55.781,Char.d,Key.shift_r,d
1763442963333.029,1763442963508.672,175.637,-74.544,Char.j,Char.d,j
1763442963670.109,1763442963815.567,145.454,161.442,Char..,Char.j,.
1763442963881.072,1763442964037.004,155.929,65.51,Char..,Char..,.
1763442964288.538,1763442964459.825,171.283,251.537,Key.enter,Char..,
1763442964087.233,1763442964469.819,382.582,-372.589,Key.shift,Key.enter,
1763442964717.406,1763442964933.74,216.331,247.589,Key.shift_r,Key.shift,
1763442964989.935,1763442965155.344,165.405,56.199,Char.h,Key.shift_r,h
1763442965066.4,1763442965205.753,139.347,-88.94,Key.space,Char.h,
1763442965220.576,1763442965366.323,145.741,14.831,Char.d,Key.space,d
1763442965301.632,1763442965447.188,145.55,-64.686,Char.j,Char.d,j
1763442965412.333,1763442965529.648,117.311,-34.85,Char.s,Char.j,s
1763442965618.537,1763442965738.948,120.405,88.893,Char.w,Char.s,w
1763442965714.043,1763442965895.654,181.606,-24.898,Char.p,Char.w,p
1763442965995.515,1763442966151.613,156.095,99.864,Key.space,Char.p,
1763442966243.32,1763442966353.25,109.912,91.711,Char.2,Key.space,2
1763442966363.585,1763442966454.147,90.559,10.354,Char.0,Char.2,0
1763442966522.716,1763442966642.005,119.284,68.572,Char.0,Char.0,0
1763442966832.141,1763442966988.028,155.882,190.141,Char.x,Char.0,x
1763442966923.073,1763442967099.307,176.228,-64.95,Char.k,Char.x,k
1763442967015.416,1763442967139.23,123.81,-83.887,Key.space,Char.k,
1763442967175.196,1763442967299.912,124.709,35.972,Char.w,Key.space,w
1763442967250.944,1763442967413.015,162.066,-48.961,Char.j,Char.w,j
1763442967390.904,1763442967529.22,138.311,-22.106,Char.d,Char.j,d
1763442967647.855,1763442967752.832,104.973,118.64,Char.e,Char.d,e
1763442967763.308,1763442967893.925,130.614,10.48,Char.h,Char.e,h
1763442967914.549,1763442968042.1,127.546,20.627,Char.f,Char.h,f
1763442968030.494,1763442968200.84,170.344,-11.6,Char.m,Char.f,m
1763442968115.973,1763442968212.461,96.488,-84.866,Char.f,Char.m,f
1763442968190.971,1763442968357.302,166.327,-21.489,Key.space,Char.f,
1763442968382.988,1763442968539.422,156.428,25.692,Char.c,Key.space,c
1763442968519.235,1763442968639.408,120.155,-20.182,Char.u,Char.c,u
1763442968615.46,1763442968766.051,150.587,-23.93,Char.d,Char.u,d
1763442968777.619,1763442968891.912,114.288,11.573,Char.i,Char.d,i
1763442968921.974,1763442969042.401,120.405,30.067,Char.g,Char.i,g
1763442969027.977,1763442969186.34,158.362,-14.403,Char.k,Char.g,k
1763442969174.199,1763442969305.098,130.893,-12.139,Char.f,Char.k,f
1763442969289.692,1763442969414.6,124.903,-15.402,Key.space,Char.f,
1763442969510.178,1763442969717.2,207.018,95.583,Key.shift_r,Key.space,
1763442969802.577,1763442970008.802,206.22,85.382,Char.k,Key.shift_r,k
1763442969902.979,1763442970038.988,136.005,-105.819,Key.space,Char.k,
1763442970050.019,1763442970140.242,90.22,11.036,Char.r,Key.space,r
1763442970311.288,1763442970432.348,121.055,171.049,Key.backspace,Char.r,
1763442970386.924,1763442970482.407,95.477,-45.418,Char.w,Key.backspace,w
1763442970528.161,1763442970668.925,140.76,45.76,Char.j,Char.w,j
1763442970598.433,1763442970714.27,115.832,-70.488,Char.d,Char.j,d
1763442970735.077,1763442970905.392,170.31,20.811,Char.a,Char.d,a
1763442970810.904,1763442971006.109,195.199,-94.483,Char.k,Char.a,k
1763442970937.155,1763442971053.41,116.25,-68.948,Char.f,Char.k,f
1763442971031.078,1763442971177.019,145.938,-22.327,Key.space,Char.f,
1763442971162.66,1763442971288.196,125.533,-14.355,Char.r,Key.space,r
1763442971264.68,1763442971368.65,103.964,-23.514,Char.h,Char.r,h
