ts_down,ts_up,dwell_ms,flight_ms,code,prev_code,key
1763443371126.45,1763443371241.785,115.332,26813.84,Char.r,Key.backspace,r
1763443371412.834,1763443371543.764,130.928,171.052,Char.P,Char.r,P
1763443371307.244,1763443371553.76,246.515,-236.518,Key.shift_r,Char.P,
1763443371579.403,1763443371682.751,103.343,25.645,Char.t,Key.shift_r,t
1763443371670.754,1763443371807.318,136.561,-11.992,Char.h,Char.t,h
1763443371782.144,1763443371876.18,94.034,-25.171,Char.r,Char.h,r
1763443371886.225,1763443372006.96,120.732,10.047,Key.space,Char.r,
1763443372355.25,1763443372440.219,84.964,348.293,Char.g,Key.space,g
1763443372420.801,1763443372531.873,111.055,-19.413,Char.o,Char.g,o
1763443372547.023,1763443372682.02,134.992,15.168,Char.t,Char.o,t
1763443372626.857,1763443372773.972,147.109,-55.159,Char.j,Char.t,j
1763443372691.614,1763443372832.865,141.247,-82.354,Key.space,Char.j,
1763443372853.611,1763443372984.118,130.503,20.751,Char.v,Key.space,v
1763443372929.324,1763443373044.437,115.11,-54.79,Char.o,Char.v,o
1763443373054.947,1763443373185.894,130.942,10.513,Char.x,Char.o,x
1763443373160.587,1763443373297.268,136.676,-25.303,Char.j,Char.x,j
1763443373261.545,1763443373377.43,115.88,-35.717,Char.s,Char.j,s
1763443373442.458,1763443373530.631,88.169,65.032,Char.g,Char.s,g
1763443373503.176,1763443373658.795,155.615,-27.451,Char.k,Char.g,k
1763443373644.092,1763443373731.885,87.789,-14.699,Char.r,Char.k,r
1763443373841.23,1763443373991.924,150.69,109.349,Char.t,Char.r,t
1763443373951.966,1763443374081.5,129.531,-39.954,Char.m,Char.t,m
1763443374026.721,1763443374152.349,125.624,-54.776,Char.q,Char.m,q
1763443374283.526,1763443374424.231,140.695,131.181,Char.d,Char.q,d
1763443374369.044,1763443374485.461,116.414,-55.177,Char.m,Char.d,m
1763443374494.686,1763443374615.867,121.176,9.229,Char.f,Char.m,f
1763443374555.095,1763443374681.482,126.383,-60.768,Key.space,Char.f,
1763443374693.043,1763443374827.422,134.371,11.567,Char.s,Key.space,s
1763443374762.589,1763443374874.144,111.549,-64.826,Char.n,Char.s,n
1763443374978.268,1763443375078.635,100.361,104.13,Char.j,Char.n,j
1763443374917.92,1763443375099.975,182.042,-160.709,Char.w,Char.j,w
1763443375119.261,1763443375235.294,116.027,19.299,Char.r,Char.w,r
1763443375322.56,1763443375429.447,106.871,87.271,Char.t,Char.r,t
1763443375411.874,1763443375537.576,125.697,-17.558,Char.l,Char.t,l
1763443375718.319,1763443375877.101,158.778,180.748,Char.z,Char.l,z
1763443375793.973,1763443375929.647,135.67,-83.123,Char.l,Char.z,l
1763443375950.1,1763443376050.551,100.449,20.455,Char.s,Char.l,s
1763443376025.812,1763443376171.446,145.631,-24.736,Char.m,Char.s,m
1763443376141.493,1763443376372.868,231.372,-29.951,Char.s,Char.m,s
1763443376338.238,1763443376483.557,145.297,-34.626,Char.r,Char.s,r
1763443376408.741,1763443376584.238,175.493,-74.794,Char.p,Char.r,p
1763443376503.39,1763443376614.252,110.856,-80.844,Key.space,Char.p,
1763443376594.49,1763443376735.384,140.89,-19.756,Char.d,Key.space,d
1763443376669.765,1763443376775.639,105.869,-65.614,Char.j,Char.d,j
1763443376821.092,1763443376987.041,165.945,45.456,Key.shift_r,Char.j,
1763443377033.122,1763443377158.323,125.198,46.087,Char.j,Key.shift_r,j
1763443377108.49,1763443377228.931,120.438,-49.83,Char.s,Char.j,s
1763443377314.711,1763443377420.331,105.615,85.783,Char.w,Char.s,w
1763443377360.023,1763443377541.842,181.813,-60.303,Char.l,Char.w,l
1763443377440.412,1763443377601.609,161.193,-101.427,Key.space,Char.l,
1763443380300.875,1763443380400.91,100.031,2699.271,Key.backspace,Key.space,
1763443380427.14,1763443380582.624,155.466,26.236,Char.d,Key.backspace,d
1763443380840.422,1763443380975.75,135.323,257.816,Char.y,Char.d,y
1763443381529.418,1763443381720.245,190.824,553.672,Key.enter,Char.y,
1763443381393.212,1763443381730.21,336.994,-327.03,Key.shift,Key.enter,
1763443382848.711,1763443382963.953,115.239,1118.506,Char.d,Key.shift,d
1763443382923.992,1763443383024.881,100.886,-39.958,Char.l,Char.d,l
1763443383085.355,1763443383221.396,136.03,60.477,Char.r,Char.l,r
1763443383135.958,1763443383357.363,221.4,-85.427,Char.p,Char.r,p
1763443383256.062,1763443383397.608,141.542,-101.297,Key.space,Char.p,
1763443383519.246,1763443383629.437,110.187,121.642,Char.s,Key.space,s
1763443383569.114,1763443383708.514,139.394,-60.318,Char.k,Char.s,k
1763443383695.75,1763443383820.704,124.948,-12.758,Char.s,Char.k,s
1763443383770.65,1763443383948.812,178.158,-50.048,Char.m,Char.s,m
1763443383865.999,1763443384002.061,136.057,-82.81,Char.s,Char.m,s
1763443383951.312,1763443384093.149,141.832,-50.745,Key.space,Char.s,
1763443384102.862,1763443384233.282,130.418,9.717,Char.w,Key.space,w
1763443384199.203,1763443384318.712,119.505,-34.075,Char.h,Char.w,h
1763443384308.804,1763443384464.769,155.961,-9.904,Char.a,Char.h,a
1763443384444.312,1763443384565.178,120.862,-20.453,Key.space,Char.a,
1763443384898.156,1763443385039.127,140.967,332.982,Char.c,Key.space,c
1763443384969.387,1763443385112.864,143.474,-69.736,Char.j,Char.c,j
1763443385049.12,1763443385179.836,130.713,-63.741,Char.s,Char.j,s
1763443385159.844,1763443385322.077,162.242,-20.002,Char.c,Char.s,c
1763443385271.301,1763443385402.256,130.949,-50.772,Char.j,Char.c,j
1763443385330.719,1763443385451.771,121.047,-71.531,Char.s,Char.j,s
1763443385548.54,1763443385663.191,114.647,96.774,Char.g,Char.s,g
1763443385623.336,1763443385804.201,180.861,-39.851,Char.l,Char.g,l
1763443385713.255,1763443385864.315,151.054,-90.942,Key.space,Char.l,
1763443385919.804,1763443386076.149,156.343,55.495,Char.c,Key.space,c
1763443386040.703,1763443386202.872,162.163,-35.443,Char.l,Char.c,l
1763443386278.274,1763443386398.265,119.989,75.407,Char.s,Char.l,s
1763443386368.329,1763443386518.995,150.659,-29.934,Char.m,Char.s,m
1763443386474.977,1763443386606.404,131.414,-44.01,Char.s,Char.m,s
1763443386569.507,1763443386676.517,106.995,-36.886,Key.space,Char.s,
1763443386666.252,1763443386784.214,117.957,-10.248,Char.r,Key.space,r
1763443386771.154,1763443386901.467,130.311,-13.055,Char.u,Char.r,u
1763443386821.523,1763443386969.611,148.084,-79.941,Char.d,Char.u,d
1763443386982.431,1763443387113.544,131.108,12.824,Char.g,Char.d,g
1763443387088.331,1763443387224.103,135.768,-25.208,Char.i,Char.g,i
1763443387184.033,1763443387284.551,100.514,-40.066,Char.d,Char.i,d
1763443387400.669,1763443387515.907,115.233,116.123,Char.e,Char.d,e
1763443387480.782,1763443387637.734,156.947,-35.121,Char.h,Char.e,h
1763443387551.383,1763443387683.045,131.658,-86.347,Key.space,Char.h,
1763443387647.774,1763443387778.552,130.771,-35.266,Char.d,Key.space,d
1763443387738.908,1763443387838.49,99.579,-39.638,Char.l,Char.d,l
1763443296506.861,1763443388032.762,91525.894,-91331.625,Char.T,Char.l,T
1763443387898.989,1763443388077.113,178.119,-133.767,Key.shift_r,Char.T,
1763443388091.083,1763443388231.306,140.217,13.975,Char.d,Key.shift_r,d
1763443388191.957,1763443388302.427,110.457,-39.343,Char.j,Char.d,j
1763443388295.489,1763443388433.313,137.819,-6.924,Char.t,Char.j,t
1763443388398.297,1763443388505.021,106.721,-35.011,Char.j,Char.t,j
1763443388769.725,1763443389098.392,328.665,264.705,Key.shift,Char.j,
1763443388971.376,1763443389137.634,166.254,-127.014,Key.enter,Key.shift,
1763443389218.384,1763443389349.815,131.425,80.756,Char.d,Key.enter,d
1763443389310.447,1763443389460.699,150.249,-39.363,Char.l,Char.d,l
1763443389429.898,1763443389532.581,102.679,-30.799,Char.r,Char.l,r
1763443389520.45,1763443389652.689,132.237,-12.126,Char.j,Char.r,j
1763443389616.748,1763443389751.716,134.964,-35.939,Char.t,Char.j,t
1763443389772.517,1763443389924.205,151.682,20.806,Char.e,Char.t,e
1763443389872.621,1763443390023.891,151.265,-51.578,Char.h,Char.e,h
1763443389938.278,1763443390074.086,135.805,-85.61,Key.space,Char.h,
1763443390044.166,1763443390154.707,110.538,-29.916,Char.q,Key.space,q
1763443390134.966,1763443390307.339,172.368,-19.738,Char.k,Char.q,k
1763443390250.554,1763443390386.384,135.826,-56.78,Char.s,Char.k,s
1763443390401.542,1763443390515.236,113.691,15.162,Char.d,Char.s,d
1763443390505.628,1763443390608.401,102.769,-9.606,Char.u,Char.d,u
1763443390588.212,1763443390714.887,126.669,-20.184,Char.d,Char.u,d
1763443390774.368,1763443390907.296,132.923,59.486,Char.g,Char.d,g
1763443390887.508,1763443391005.633,118.122,-19.784,Char.k,Char.g,k
1763443391105.998,1763443391227.037,121.034,100.368,Char.s,Char.k,s
1763443391315.557,1763443391458.99,143.428,88.525,Char.e,Char.s,e
1763443391424.759,1763443391529.088,104.326,-34.226,Char.k,Char.e,k
1763443391515.514,1763443391640.074,124.556,-13.571,Char.a,Char.k,a
1763443391625.251,1763443391761.146,135.891,-14.819,Char.u,Char.a,u
1763443391705.534,1763443391836.152,130.615,-55.607,Char.s,Char.u,s
1763443391826.157,1763443391952.069,125.907,-9.994,Key.space,Char.s,
