ts_down,ts_up,dwell_ms,flight_ms,code,prev_code,key
1760424413457.018,1760424413553.831,94.832,26498.465,Char.p,Key.enter,p
1760424413576.721,1760424413653.474,78.213,23.252,Char.y,Char.p,y
1760424413776.817,1760424413891.245,110.322,125.603,Char.t,Char.y,t
1760424413836.882,1760424413921.634,84.809,-54.58,Char.h,Char.t,h
1760424413911.106,1760424414012.122,100.387,-9.695,Char.o,Char.h,o
1760424414026.89,1760424414177.856,156.393,15.75,Char.n,Char.o,n
1760424414137.659,1760424414226.792,96.21,-46.099,Key.space,Char.n,
1760424414276.84,1760424414378.383,100.383,50.868,Char.m,Key.space,m
1760424414427.737,1760424414526.958,91.641,49.839,Char.o,Char.m,o
1760424414605.607,1760424414677.949,70.488,79.198,Char.d,Char.o,d
1760424414817.827,1760424414898.868,81.016,141.092,Key.tab,Char.d,
1760424415192.861,1760424415276.848,85.711,296.326,Key.space,Key.tab,
1760424415371.104,1760424415452.006,80.494,91.445,Char.w,Key.space,w
1760424415437.999,1760424415521.376,80.422,-10.484,Char.l,Char.w,l
1760424415531.966,1760424415612.972,80.501,10.063,Char.s,Char.l,s
1760424415626.865,1760424415731.761,105.049,15.799,Char.e,Char.s,e
1760424415708.92,1760424415805.156,95.501,-24.823,Char.m,Char.e,m
1760424415785.938,1760424415861.114,80.386,-19.022,Char.r,Char.m,r
1760424415922.128,1760424416005.648,79.53,60.408,Char.r,Char.r,r
1760424415987.51,1760424416067.031,78.76,-18.575,Char.l,Char.r,l
1760424416157.05,1760424416256.91,95.623,95.87,Key.enter,Char.l,
1760424427840.958,1760424427925.707,84.51,11583.46,Char.w,Key.enter,w
1760424427900.709,1760424427987.114,85.992,-24.923,Char.k,Char.w,k
1760424428157.029,1760424428258.32,100.705,170.4,Key.space,Char.k,
1760424428359.317,1760424428459.322,100.32,101.26,Char.d,Key.space,d
1760424428450.317,1760424428509.961,60.177,-9.418,Char.l,Char.d,l
1760424428520.971,1760424428621.381,100.707,10.655,Char.w,Char.l,w
1760424428591.38,1760424428701.445,110.82,-30.61,Char.p,Char.w,p
1760424428665.45,1760424428771.487,105.747,-36.065,Key.space,Char.p,
1760424428852.952,1760424428923.782,69.53,81.731,Char.w,Key.space,w
1760424428913.77,1760424429003.165,89.942,-9.338,Char.j,Char.w,j
1760424428978.153,1760424429124.049,146.054,-25.216,Char.d,Char.j,d
