ts_down,ts_up,dwell_ms,flight_ms,code,prev_code,key
1760424241048.124,1760424241117.475,69.553,,Char.e,,e
1760424241126.133,1760424241249.392,123.038,8.391,Char.h,Char.e,h
1760424241213.443,1760424241285.587,72.65,-36.105,Char.d,Char.h,d
1760424241345.974,1760424241439.476,93.082,60.065,Char.t,Char.d,t
1760424241401.767,1760424241489.527,87.54,-36.84,Char.l,Char.t,l
1760424241474.145,1760424241550.089,75.904,-15.63,Char.w,Char.l,w
1760424241540.444,1760424241689.608,149.059,-9.359,Char.j,Char.w,j
1760424241639.595,1760424241732.203,93.026,-50.136,Char.s,Char.j,s
1760424241754.547,1760424241869.872,115.484,21.994,Char.d,Char.s,d
1760424241819.697,1760424241920.66,100.383,-50.23,Char.m,Char.d,m
1760424241916.072,1760424242022.568,104.983,-4.111,Char.s,Char.m,s
1760424241979.166,1760424242081.283,102.074,-41.417,Key.space,Char.s,
1760424242072.106,1760424242162.457,90.42,-9.891,Char.t,Key.space,t
1760424242138.894,1760424242229.714,91.227,-23.735,Char.l,Char.t,l
1760424242175.288,1760424242263.057,87.897,-54.895,Char.w,Char.l,w
1760424242279.0,1760424242416.085,136.898,16.153,Char.k,Char.w,k
1760424242355.899,1760424242434.31,77.206,-59.096,Char.d,Char.k,d
1760424242502.225,1760424242587.498,84.965,68.485,Char.d,Char.d,d
1760424242555.008,1760424242657.491,101.849,-32.291,Char.m,Char.d,m
1760424242646.286,1760424242736.494,89.98,-10.823,Char.f,Char.m,f
1760424242712.333,1760424242817.505,104.452,-24.077,Key.space,Char.f,
1760424242835.643,1760424242899.849,63.289,19.687,Char.r,Key.space,r
1760424242884.75,1760424242997.687,113.366,-14.739,Char.k,Char.r,k
1760424242928.574,1760424243071.76,142.83,-69.521,Char.a,Char.k,a
1760424243039.382,1760424243189.57,150.256,-32.123,Char.e,Char.a,e
1760424243135.413,1760424243239.27,104.156,-53.915,Char.h,Char.e,h
1760424243214.622,1760424243289.88,75.586,-25.123,Char.r,Char.h,r
1760424243368.818,1760424243431.37,62.375,78.805,Char.g,Char.r,g
1760424243423.754,1760424243493.079,68.724,-7.3,Char.k,Char.g,k
