ts_down,ts_up,dwell_ms,flight_ms,code,prev_code,key
1761151645148.892,1761151645240.175,91.036,9491.721,Key.backspace,Char.d,
1761151645295.528,1761151645385.413,90.593,54.98,Key.backspace,Key.backspace,
1761151645457.054,1761151645546.931,90.066,71.448,Key.backspace,Key.backspace,
1761151645824.931,1761151645900.301,75.531,277.302,Key.space,Key.backspace,
1761151646015.853,1761151646122.372,106.067,115.789,Char.g,Key.space,g
1761151646104.545,1761151646243.586,139.048,-17.781,Char.k,Char.g,k
1761151646167.176,1761151646312.477,144.857,-75.484,Char.s,Char.k,s
1761151646268.409,1761151646404.116,135.663,-44.272,Char.e,Char.s,e
1761151646374.699,1761151646463.797,88.746,-29.016,Char.k,Char.e,k
1761151646565.293,1761151646675.704,110.436,101.195,Char..,Char.k,.
1761151646720.601,1761151646816.13,95.638,44.864,Key.enter,Char..,
1761151647638.387,1761151647743.643,105.716,822.018,Char.t,Key.enter,t
1761151647702.386,1761151647803.322,100.244,-40.848,Char.l,Char.t,l
1761151647818.459,1761151647914.323,95.31,15.627,Char.f,Char.l,f
1761151647898.886,1761151648004.281,105.762,-15.396,Key.space,Char.f,
1761151648014.778,1761151648127.72,111.99,10.853,Char.r,Key.space,r
1761151648221.833,1761151648327.476,106.089,94.17,Char.k,Char.r,k
1761151648373.641,1761151648458.824,84.926,46.317,Char.s,Char.k,s
1761151648437.781,1761151648529.352,90.585,-20.462,Char.m,Char.s,m
1761151648538.882,1761151648638.837,100.201,9.887,Char.s,Char.m,s
1761151648729.409,1761151648830.641,101.01,90.786,Key.space,Char.s,
1761151648842.275,1761151648921.719,79.305,11.306,Char.e,Key.space,e
1761151648913.204,1761151649042.563,129.552,-8.606,Char.p,Char.e,p
1761151648991.158,1761151649072.795,81.302,-50.902,Key.space,Char.p,
1761151649133.822,1761151649223.843,90.397,60.823,Char.q,Key.space,q
1761151649214.323,1761151649314.229,100.226,-9.948,Char.k,Char.q,k
1761151649334.569,1761151649455.219,120.739,20.71,Char.s,Char.k,s
1761151649396.931,1761151649525.357,129.063,-58.81,Char.m,Char.s,m
1761151649505.863,1761151649596.126,89.709,-19.24,Char.f,Char.m,f
1761151649621.685,1761151649727.251,105.341,25.103,Char.e,Char.f,e
1761151649692.6,1761151649837.326,145.515,-34.674,Char.h,Char.e,h
1761151649786.767,1761151649888.042,100.812,-50.762,Key.space,Char.h,
1761151649863.443,1761151649968.872,104.484,-23.758,Char.r,Key.space,r
1761151649934.805,1761151650058.936,124.995,-34.054,Char.k,Char.r,k
1761151650023.842,1761151650180.614,156.007,-35.233,Char.s,Char.k,s
